Semester	Batch	Branch	Category	Course Code	Course Name	Credits	LTPC	Slots	Total IC	Total DC	Total IC+DC
3	B25	GE-ROBO	IC	IC272	Machine Learning	3	3-0-0-3	D	8	9	17
3	B25	GE-ROBO	DC	EE261	Electrical System Around Us	3	3-0-0-3	A	8	9	17
3	B25	GE-ROBO	DC	ME206	Mechanics of Solids	3	3-0-0-3	E	8	9	17
3	B25	GE-ROBO	DC	DS201	Data Handling and Vizualization	3	3-0-0-3		8	9	17
3	B25	GE-ROBO	IC	IC222P	Physics Practicum	2	2-0-0-2	LS1, LS2,LS3, LS4	8	9	17
3	B25	GE-MECH	IC	IC202P	Design Practicum	3	3-0-0-3	A	8	12	20
3	B25	GE-MECH	IC	IC272	Machine Learning	3	3-0-0-3	D	8	12	20
3	B25	GE-MECH	DC	EE261	Electrical System Around Us	3	3-0-0-3	A	8	12	20
3	B25	GE-MECH	DC	ME206	Mechanics of Solids	3	3-0-0-3	E	8	12	20
3	B25	GE-MECH	DC	EE203	Network Theory	3	3-0-0-3	B	8	12	20
3	B25	GE-MECH	DC	EE260	Signals and Systems	3	3-0-0-3	H	8	12	20
3	B25	GE-MECH	IC	IC222P	Physics Practicum	2	2-0-0-2	LS1, LS2,LS3, LS4	8	12	20
3	B25	GE-COMM	IC	IC202P	Design Practicum	3	3-0-0-3	A	8	13	21
3	B25	GE-COMM	IC	IC272	Machine Learning	3	3-0-0-3	D	8	13	21
3	B25	GE-COMM	DC	EE261	Electrical System Around Us	3	3-0-0-3	A	8	13	21
3	B25	GE-COMM	DC	EE203	Network Theory	3	3-0-0-3	B	8	13	21
3	B25	GE-COMM	DC	EE260	Signals and Systems	3	3-0-0-3	H	8	13	21
3	B25	GE-COMM	DC	CS313	Computer Networks	4	4-0-0-4	F	8	13	21
3	B25	GE-COMM	IC	IC222P	Physics Practicum	2	2-0-0-2	LS1, LS2,LS3, LS4	8	13	21
3	B25	GE-OPEN	IC	IC202P	Design Practicum	3	3-0-0-3	A	8	12	20
3	B25	GE-OPEN	IC	IC272	Machine Learning	3	3-0-0-3	D	8	12	20
3	B25	GE-OPEN	DC	EE261	Electrical Systems Around Us	3	3-0-0-3	A	8	12	20
3	B25	GE-OPEN	DC	ME213	Thermodynamics	3	3-0-0-3	F	8	12	20
3	B25	GE-OPEN	DC	ME212	Product Manufacturing Technology	3	3-0-0-3	C	8	12	20
3	B25	GE-OPEN	DC	IC241	Material Science for Engineers	3	3-0-0-3	G	8	12	20
3	B25	GE-OPEN	IC	IC222P	Physics Practicum	2	2-0-0-2	LS1, LS2,LS3, LS4	8	12	20
